Analógico;Digital;Configurador;ACO;ARE;CALC;PDP;SIS;SME;UFE
ACAL_69P0_BAP_KV.v;ACAL_69P0_CHSD401_S.s;ACAL_69P0_BAP.c;ACO_NE_CAGBSB_BIAS.v;ARE_2AC_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA001.v;RPDP.Geracao.3G.ILHA SOLTEIRA;SIS_BR_AF_ELEV_GERAC_PATAMAR_1H.v;SME_AR_INTERC_INTERN_MW.v;UFE_AC_CA_GLOBAL_MW.v
ACAL_69P0_BAT_KV.v;ACAL_69P0_CHSD402_S.s;ACAL_69P0_BAT.c;ACO_NE_CAGBSB_BIASD.v;ARE_2AC_CA_SMMGD_GLOBAL_MW.v;RTN_BSB_DIN_ANA002.v;RPDP.Geracao.3G.JUPIA-138;SIS_BR_AF_ELEV_GERAC_PATAMAR_1H30M.v;SME_CO_AF_INC_MW.v;UFE_AC_CA_GLV_MW.v
ACCS_230_BAA_KV.v;ACAL_69P0_CHSD403_S.s;ACCS_230_BAA.c;ACO_NE_CAGBSB_ECA.v;ARE_2AC_GE_MMGD_MW.v;RTN_BSB_DIN_ANA003.v;RPDP.Geracao.3G.JUPIA-440;SIS_BR_AF_ELEV_GERAC_PROX_PATAMAR.v;SME_CO_AF_RSVGIR_MW.v;UFE_AC_CA_SMMGD_GLOBAL_MW.v
ACCS_230_BAB_KV.v;ACAL_69P0_CHSD404_S.s;ACCS_230_BAB.c;ACO_NE_CAGBSB_ECAB.v;ARE_2AP_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA004.v;RPDP.Geracao.AA.AMANDINA;SIS_BR_AF_INC_MW.v;SME_NE_AF_ELEV_GERAC_PATAMAR_1H.v;UFE_AC_CA_TOT_MW.v
ACCS_69P0_BAP_KV.v;ACAL_69P0_CHSD405_S.s;ACCS_69P0_BAP.c;ACO_NE_CAGBSB_HZ.v;ARE_2AP_CA_SMMGD_GLOBAL_MW.v;RTN_BSB_DIN_ANA005.v;RPDP.Geracao.AA.ANGELICA;SIS_BR_AF_MW.S_HIDRAULICA_GER.v;SME_NE_AF_ELEV_GERAC_PATAMAR_1H30M.v;UFE_AC_GE_MMGD_MW.v
ACFJ_230_BAA_KV.v;ACAL_69P0_CHSD406_S.s;ACCS_69P0_BAT.c;ACO_NE_CAGBSB_ILP.v;ARE_2AP_GE_MMGD_MW.v;RTN_BSB_DIN_ANA006.v;RPDP.Geracao.AB.IMP VENEZUELA;SIS_BR_AF_MW.S_HIDRAULICA_SINC.v;SME_NE_AF_ELEV_GERAC_PROX_PATAMAR.v;UFE_AC_GE_TER_GDS.v
ACFJ_230_BAB_KV.v;ACAL_69P0_CHSD407_S.s;ACFJ_230_BAA.c;ACO_NE_CAGBSB_ILR.v;ARE_2CT_CA_EIXO_PAF_MW.v;RTN_BSB_DIN_ANA007.v;RPDP.Geracao.AC.BELOJARDIM;SIS_BR_AF_MW.S_SINCRONO.v;SME_NE_AF_INC_MW.v;UFE_AC_GE_TER_MW.v
ACFJ_69P0_BAP_KV.v;ACAL_69P0_CHSD408_S.s;ACFJ_230_BAB.c;ACO_NE_CAGBSB_RAMPA.v;ARE_2CT_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA008.v;RPDP.Geracao.AC.PEQ TERM 1;SIS_BR_AF_MW.S_TERMICA.v;SME_NE_AF_MW.S_HIDRAULICA_GER.v;UFE_AC_GE_TOT_GDS.v
ACFL_69P0_BAP_KV.v;ACAL_69P0_CHSD409_S.s;ACFJ_69P0_BAP.c;ACO_NE_CAGREC_BIAS.v;ARE_2CT_CA_SMMGD_GLOBAL_MW.v;RTN_BSB_DIN_ANA009.v;RPDP.Geracao.AD.A.DOCE;SIS_BR_AF_REDUC_GERAC_PATAMAR_1H.v;SME_NE_AF_MW.S_HIDRAULICA_SINC.v;UFE_AC_GE_TOT_MW.v
ACFL_69P0_BAT_KV.v;ACAL_69P0_CHSD410_S.s;ACFJ_69P0_BAT.c;ACO_NE_CAGREC_BIASD.v;ARE_2CT_CA_TOT_MVAR.v;RTN_BSB_DIN_ANA010.v;RPDP.Geracao.AE.BURITI;SIS_BR_AF_REDUC_GERAC_PATAMAR_1H30M.v;SME_NE_AF_MW.S_SINCRONO.v;UFE_AP_CA_GLOBAL_MW.v
ACO_NE_CJU_BA4ECLA_GDS.v;ACAL_69P0_CHSD415_S.s;ACFL_69P0_BAP.c;ACO_NE_CAGREC_ECA.v;ARE_2CT_CA_TOT_MVAR_1.v;RTN_BSB_DIN_ANA011.v;RPDP.Geracao.AE.PPEDRAS;SIS_BR_AF_REDUC_GERAC_PROX_PATAMAR.v;SME_NE_AF_MW.S_TERMICA.v;UFE_AP_CA_GLV_MW.v
ACO_NE_CJU_BA4ECLA_MVAR.v;ACAL_69P0_CHSD416_S.s;ACFL_69P0_BAT.c;ACO_NE_CAGREC_ECAB.v;ARE_2CT_CA_TOT_MW.v;RTN_BSB_DIN_ANA012.v;RPDP.Geracao.AF. CJPITOMBEIRA;SIS_BR_AF_RESERV_ALOC_TOT.v;SME_NE_AF_REDUC_GERAC_PATAMAR_1H.v;UFE_AP_CA_SMMGD_GLOBAL_MW.v
ACO_NE_CJU_BA4ECLA_MW.v;ACAL_69P0_CHSY401_S.s;ACRB_138_BAP.c;ACO_NE_CAGREC_HZ.v;ARE_2CT_GE_HIDRAULICA_MW.v;RTN_BSB_DIN_ANA013.v;RPDP.Geracao.AG.CJSINACIO;SIS_BR_AF_RESERV_ALOC_TOT_R2.v;SME_NE_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_AP_CA_TOT_MW.v
ACO_NE_CJU_BA4EOUR_GDS.v;ACAL_69P0_CHSY402_S.s;ACRB_138_BAT.c;ACO_NE_CAGREC_ILP.v;ARE_2CT_GE_TOT_MW.v;RTN_BSB_DIN_ANA014.v;RPDP.Geracao.AL.ALEGRIA;SIS_BR_AF_RSVGIR_MW.v;SME_NE_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_AP_FX_AMAPA_MW.v
ACO_NE_CJU_BA4EOUR_MVAR.v;ACAL_69P0_CHSY403_S.s;ACRB_230_BAP.c;ACO_NE_CAGREC_ILR.v;ARE_2LE_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA015.v;RPDP.Geracao.AL.ALEGRIA 2;SIS_BR_ARE_5ES_SA_ES_FX_STR_MW.v;SME_NE_AF_RSVGIR_MW.v;UFE_AP_FX_DMC_PTC_MW.v
