VERIFICADO LT;ESTIMADO LT;CONFIGURADOR LT;VERIFICADO TR;ESTIMADO TR;CONFIGURADOR TR;VERIFICADO USINA;ESTIMADO USINA;VERIFICADO UG;ESTIMADO UG;CONFIGURADOR UG;VERIFICADO COMP;ESTIMADO COMP;CONFIGURADOR COMP;VERIFICADO BARRA;ESTIMADO BARRA;CONFIGURADOR BARRA;VERIFICADO UFE;ESTIMADO UFE;VERIFICADO CALC;DIGITAIS;PDP USINA;PDP CARGA
MSACL_138_LTMSMIM_1_AMP.v;MSACL_138_LTMSMIM_1_AMP.e;MSACL_138_LTMSMIM_1.c;MSACL_138_CATR1_MVAR.v;MSACL_138_CATR1_MVAR.e;MSACL_138_CATR1.c;MSAM2_GE_TOT_GDS.v;MSAM2_GE_TOT_GDS.e;MSAM2_13P8_UG1_GDS.v;MSAM2_13P8_UG1_GDS.e;MSELDR_13P8_UG1.c;MSANA_14P5_CE1_KV.v;MSANA_14P5_CE1_KV.e;MSANA_14P5_CE1.c;MSACL_138_BAB1_KV.v;MSACL_138_BAB1_KV.e;MSACL_138_BAB1.c;ACO_S_CA_MW.v;ACO_S_CA_MW.e;RTN_FLN_DIN_ANA001.v;PRSBR_138_DJ5211_S.s;RPDP.AreaControle.S.GERACAO HIDRAULICA;RPDP.AreaControle.S.CARGA
MSACL_138_LTMSMIM_1_KV.v;MSACL_138_LTMSMIM_1_KV.e;MSACL_138_LTMSUHSD_1.c;MSACL_138_CATR1_MW.v;MSACL_138_CATR1_MW.e;MSAMD_230_TR1.c;MSAM2_GE_TOT_MVAR.v;MSAM2_GE_TOT_MVAR.e;MSELDR_13P8_UG1_GDS.v;MSELDR_13P8_UG1_GDS.e;MSELDR_13P8_UG4.c;MSANA_14P5_CE1_MVAR.v;MSANA_14P5_CE1_MVAR.e;MSIMB_20P0_CE1.c;MSAMD_230_BAP_KV.v;MSAMD_230_BAP_KV.e;MSAMD_230_BAP.c;ACO_S_CA_MW_1.v;ACO_S_CA_MW_1.e;RTN_FLN_DIN_ANA002.v;PRSBR_138_DJ5234_S.s;RPDP.AreaControle.S.GERACAO TERMICA;RPDP.AreaControle.S.INTERCAMBIO
MSACL_138_LTMSMIM_1_MVAR.v;MSACL_138_LTMSMIM_1_MVAR.e;MSACL_138_LTSPJUP_1.c;MSANA_138_TRTF1_S_AMP.v;MSANA_138_TRTF1_S_AMP.e;MSAMD_230_TR2.c;MSAM2_GE_TOT_MW.v;MSAM2_GE_TOT_MW.e;MSELDR_13P8_UG1_KV.v;MSELDR_13P8_UG1_KV.e;MSELDR_13P8_UG5.c;MSIMB_20P0_CE1_KV.v;MSIMB_20P0_CE1_KV.e;RSGUA3_17P5_CE1.c;MSAMD_230_BAT_KV.v;MSAMD_230_BAT_KV.e;MSAMD_230_BAT.c;ACO_S_CA_PROPRIA_DIF_ILR.v;ACO_S_CA_PROPRIA_DIF_ILR.e;RTN_FLN_DIN_ANA003.v;PRSBR_138_DJ526_S.s;RPDP.AreaControle.S.INTERCAMBIO;RPDP.Carga.AC
MSACL_138_LTMSMIM_1_MW.v;MSACL_138_LTMSMIM_1_MW.e;MSAM2_13P8_LTMSAMD_1.c;MSANA_138_TRTF1_S_KV.v;MSANA_138_TRTF1_S_KV.e;MSANA_230_TR1.c;MSELDR_GE_TOT_GDS.v;MSELDR_GE_TOT_GDS.e;MSELDR_13P8_UG1_MVAR.v;MSELDR_13P8_UG1_MVAR.e;MSELDR_13P8_UG6.c;MSIMB_20P0_CE1_MVAR.v;MSIMB_20P0_CE1_MVAR.e;SCBIG_19P0_CE1.c;MSANA_230_BAPT_HZ.v;MSANA_230_BAPT_HZ.e;MSANA_13P8_BACA01.c;ACO_S_CA_PROPRIA_MW.v;ACO_S_CA_PROPRIA_MW.e;RTN_FLN_DIN_ANA004.v;PRSCL_138_DJ5202_S.s;RPDP.Geracao.3G.ILHA SOLTEIRA;RPDP.Carga.ADECOAGRO
MSACL_138_LTMSUHSD_1_AMP.v;MSACL_138_LTMSUHSD_1_AMP.e;MSAM2_13P8_LTMSUAMA_1.c;MSANA_138_TRTF1_S_MVAR.v;MSANA_138_TRTF1_S_MVAR.e;MSANA_230_TRTF1.c;MSELDR_GE_TOT_MVAR.v;MSELDR_GE_TOT_MVAR.e;MSELDR_13P8_UG1_MW.v;MSELDR_13P8_UG1_MW.e;MSMIM_13P8_UG1.c;RSGUA3_17P5_CE1_KV.v;RSGUA3_17P5_CE1_KV.e;RSLIV3_11P0_CS2.c;MSANA_230_BAP_HZ.v;MSANA_230_BAPT_KV.e;MSANA_230_BAP.c;ACO_S_CA_PROPRIA_REF_ILR.v;ACO_S_CA_PROPRIA_REF_ILR.e;RTN_FLN_DIN_ANA005.v;PRSCL_138_DJ5207_S.s;RPDP.Geracao.3G.JUPIA-138;RPDP.Carga.AES TIETE
MSACL_138_LTMSUHSD_1_KV.v;MSACL_138_LTMSUHSD_1_KV.e;MSAMD_230_LTMSIVI2_1.c;MSANA_138_TRTF1_S_MW.v;MSANA_138_TRTF1_S_MW.e;MSANA_230_TRTF2.c;MSELDR_GE_TOT_MW.v;MSELDR_GE_TOT_MW.e;MSELDR_13P8_UG4_GDS.v;MSELDR_13P8_UG4_GDS.e;MSMIM_13P8_UG2.c;RSGUA3_17P5_CE1_MVAR.v;RSGUA3_17P5_CE1_MVAR.e;RSLIV3_13P8_CS1.c;MSANA_230_BAP_KV.v;MSANA_230_BAP_HZ.e;MSANA_230_BAPT.c;ACO_S_CA_SMMGD_MW.v;ACO_S_CA_SMMGD_MW.e;RTN_FLN_DIN_ANA006.v;PRSCL_138_DJ5212_S.s;RPDP.Geracao.3G.JUPIA-440;RPDP.Carga.AES UG
MSACL_138_LTMSUHSD_1_MVAR.v;MSACL_138_LTMSUHSD_1_MVAR.e;MSANA_138_LTMSAQU_1.c;MSANA_138_TRTF1_S_TAP.v;MSANA_138_TRTF1_S_TAP.e;MSAQU_138_CATR1.c;MSMIM_GE_TOT_GDS.v;MSMIM_GE_TOT_GDS.e;MSELDR_13P8_UG4_KV.v;MSELDR_13P8_UG4_KV.e;MSUAMA_13P8_UG1.c;SCBIG_19P0_CE1_KV.v;SCBIG_19P0_CE1_KV.e;RSMRO2_11P0_CS3.c;MSANA_230_BAPT_KV.v;MSANA_230_BAP_KV.e;MSAQU_138_BAB1.c;ACO_S_CAG_EMP_ECA.v;ACO_S_CAG_EMP_ECA.e;RTN_FLN_DIN_ANA007.v;PRSCL_138_DJ5215_S.s;RPDP.Geracao.AA.AMANDINA;RPDP.Carga.ALBRAS
MSACL_138_LTMSUHSD_1_MW.v;MSACL_138_LTMSUHSD_1_MW.e;MSANA_138_LTMSAQU_2.c;MSANA_138_TRTF2_S_MVAR.v;MSANA_138_TRTF2_S_MVAR.e;MSAQU_138_CATR5.c;MSMIM_GE_TOT_MVAR.v;MSMIM_GE_TOT_MVAR.e;MSELDR_13P8_UG4_MVAR.v;MSELDR_13P8_UG4_MVAR.e;MSUAMA_13P8_UG2.c;SCBIG_19P0_CE1_MVAR.v;SCBIG_19P0_CE1_MVAR.e;RSMRO2_15P0_CS1.c;MSAQU_138_BAB1_KV.v;MSAQU_138_BAB1_KV.e;MSAQU_138_BAB2.c;ACO_S_CAGBSB_BIAS.v;ACO_S_CAGBSB_BIAS.e;RTN_FLN_DIN_ANA008.v;PRSCL_138_DJ5220_S.s;RPDP.Geracao.AA.ANGELICA;RPDP.Carga.ALEGRIA2
MSACL_138_LTSPJUP_1_AMP.v;MSACL_138_LTSPJUP_1_AMP.e;MSANA_230_LTMSCOR2_1.c;MSANA_138_TRTF2_S_MW.v;MSANA_138_TRTF2_S_MW.e;MSATA_138_CATR1.c;MSMIM_GE_TOT_MW.v;MSMIM_GE_TOT_MW.e;MSELDR_13P8_UG4_MW.v;MSELDR_13P8_UG4_MW.e;MSUHSD_13P8_UG1.c;RSLIV3_11P0_CS2_KV.v;RSLIV3_11P0_CS2_KV.e;RSMRO2_15P0_CS2.c;MSAQU_138_BAB2_KV.v;MSAQU_138_BAB2_KV.e;MSATA_138_BABP.c;ACO_S_CAGBSB_BIASD.v;ACO_S_CAGBSB_BIASD.e;RTN_FLN_DIN_ANA009.v;PRSCL_138_DJ5225_S.s;RPDP.Geracao.AC.BELOJARDIM;RPDP.Carga.ALPE
MSACL_138_LTSPJUP_1_KV.v;MSACL_138_LTSPJUP_1_KV.e;MSANA_230_LTMSCOR2_2.c;MSANA_138_TRTF2_S_TAP.v;MSANA_138_TRTF2_S_TAP.e;MSATA_138_CATR3.c;MSRBRT_GE_TOT_GDS.v;MSRBRT_GE_TOT_GDS.e;MSELDR_13P8_UG5_GDS.v;MSELDR_13P8_UG5_GDS.e;MSUHSD_13P8_UG2.c;RSLIV3_11P0_CS2_MVAR.v;RSLIV3_11P0_CS2_MVAR.e;;MSATA_138_BABP_KV.v;MSATA_138_BABP_KV.e;MSATA_138_BABT.c;ACO_S_CAGBSB_ECA.v;ACO_S_CAGBSB_ECA.e;RTN_FLN_DIN_ANA010.v;PRSCO_69P0_DJ5208_S.s;RPDP.Geracao.AC.PEQ TERM 1;RPDP.Carga.ALUMAR
